2022-11-26 04:11:14,570 INFO     Search BICs for /tmp/Lang-11b/
2022-11-26 04:11:14,571 DEBUG    Reading the coverage of org.apache.commons.lang3.RandomStringUtilsTest::testLANG807 (failings)
2022-11-26 04:11:14,572 INFO     Loaded 1x11 Coverage Matrix
2022-11-26 04:11:14,574 INFO     The number of total commits: 3318
2022-11-26 04:11:15,355 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java <clinit> 43:43
2022-11-26 04:11:15,542 DEBUG                  - depth 0, hash d23b22c, HEAD~3316
2022-11-26 04:11:15,558 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 162:164
2022-11-26 04:11:15,660 DEBUG                  - depth 0, hash 9b82eae, HEAD~2726
2022-11-26 04:11:15,665 DEBUG                  - depth 1, hash d23b22c, HEAD~3316
2022-11-26 04:11:15,668 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 223:289
2022-11-26 04:11:15,746 DEBUG                  - depth 0, hash c9d786a, HEAD~0
2022-11-26 04:11:15,750 DEBUG                  - depth 1, hash 29468bd, HEAD~82
2022-11-26 04:11:15,752 DEBUG                  - depth 2, hash 861034c, HEAD~604
2022-11-26 04:11:15,755 DEBUG                  - depth 3, hash 6ff9961, HEAD~1919
2022-11-26 04:11:15,758 DEBUG                  - depth 4, hash d2b38e0, HEAD~2017
2022-11-26 04:11:15,761 DEBUG                  - depth 5, hash ca8766e, HEAD~2567
2022-11-26 04:11:15,764 DEBUG                  - depth 6, hash 9b82eae, HEAD~2726
2022-11-26 04:11:15,766 DEBUG                  - depth 7, hash 5f70a38, HEAD~2769
2022-11-26 04:11:15,768 DEBUG                  - depth 8, hash 11d347c, HEAD~2903
2022-11-26 04:11:15,771 DEBUG                  - depth 9, hash 11a540b, HEAD~2979
2022-11-26 04:11:15,774 DEBUG                  - depth 10, hash 865a748, HEAD~3029
2022-11-26 04:11:15,777 DEBUG                  - depth 11, hash d23b22c, HEAD~3316
2022-11-26 04:11:15,779 INFO     The number of BIC candidates: 12
