2022-11-26 04:28:34,662 INFO     Search BICs for /tmp/Lang-36b/
2022-11-26 04:28:34,663 DEBUG    Reading the coverage of org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber (failings)
2022-11-26 04:28:34,676 DEBUG    Reading the coverage of org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber (failings)
2022-11-26 04:28:34,693 INFO     Loaded 2x257 Coverage Matrix
2022-11-26 04:28:34,694 INFO     The number of total commits: 2283
2022-11-26 04:28:35,765 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java isBlank 227:238
2022-11-26 04:28:35,954 DEBUG                  - depth 0, hash 8981848, HEAD~230
2022-11-26 04:28:35,964 DEBUG                  - depth 1, hash 1719697, HEAD~1575
2022-11-26 04:28:35,966 DEBUG                  - depth 2, hash 282d157, HEAD~1770
2022-11-26 04:28:35,969 DEBUG                  - depth 3, hash d23b22c, HEAD~2281
2022-11-26 04:28:35,971 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java isEmpty 190:192
2022-11-26 04:28:36,150 DEBUG                  - depth 0, hash 8981848, HEAD~230
2022-11-26 04:28:36,154 DEBUG                  - depth 1, hash b2ecd0d, HEAD~1187
2022-11-26 04:28:36,157 DEBUG                  - depth 2, hash 282d157, HEAD~1770
2022-11-26 04:28:36,159 DEBUG                  - depth 3, hash d23b22c, HEAD~2281
2022-11-26 04:28:37,046 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java <clinit> 41:41
2022-11-26 04:28:37,105 DEBUG                  - depth 0, hash 61f0f16, HEAD~1854
2022-11-26 04:28:37,109 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createBigDecimal 709:718
2022-11-26 04:28:37,166 DEBUG                  - depth 0, hash 8233881, HEAD~1712
2022-11-26 04:28:37,170 DEBUG                  - depth 1, hash 9c16f35, HEAD~1714
2022-11-26 04:28:37,173 DEBUG                  - depth 2, hash 23d766d, HEAD~1729
2022-11-26 04:28:37,175 DEBUG                  - depth 3, hash af2f23e, HEAD~1758
2022-11-26 04:28:37,178 DEBUG                  - depth 4, hash 61f0f16, HEAD~1854
2022-11-26 04:28:37,181 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createBigInteger 693:698
2022-11-26 04:28:37,238 DEBUG                  - depth 0, hash 8233881, HEAD~1712
2022-11-26 04:28:37,242 DEBUG                  - depth 1, hash 9c16f35, HEAD~1714
2022-11-26 04:28:37,244 DEBUG                  - depth 2, hash 23d766d, HEAD~1729
2022-11-26 04:28:37,246 DEBUG                  - depth 3, hash af2f23e, HEAD~1758
2022-11-26 04:28:37,249 DEBUG                  - depth 4, hash 61f0f16, HEAD~1854
2022-11-26 04:28:37,251 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createDouble 643:648
2022-11-26 04:28:37,304 DEBUG                  - depth 0, hash 8233881, HEAD~1712
2022-11-26 04:28:37,308 DEBUG                  - depth 1, hash 9c16f35, HEAD~1714
2022-11-26 04:28:37,310 DEBUG                  - depth 2, hash af2f23e, HEAD~1758
2022-11-26 04:28:37,313 DEBUG                  - depth 3, hash 61f0f16, HEAD~1854
2022-11-26 04:28:37,315 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createFloat 627:632
2022-11-26 04:28:37,373 DEBUG                  - depth 0, hash 8233881, HEAD~1712
