2022-11-26 05:09:47,456 INFO     Search BICs for /tmp/JacksonXml-2b/
2022-11-26 05:09:47,457 DEBUG    Reading the coverage of com.fasterxml.jackson.dataformat.xml.misc.XmlTextTest::testMixedContent (failings)
2022-11-26 05:09:47,486 INFO     Loaded 1x350 Coverage Matrix
2022-11-26 05:09:47,487 INFO     The number of total commits: 602
2022-11-26 05:09:48,378 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java <init> 34:36
2022-11-26 05:09:48,406 DEBUG                  - depth 0, hash 4b5c9b7, HEAD~441
2022-11-26 05:09:48,422 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java _findXmlName 198:205
2022-11-26 05:09:48,448 DEBUG                  - depth 0, hash ff0bf89, HEAD~446
2022-11-26 05:09:48,456 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findNameForDeserialization 162:175
2022-11-26 05:09:48,478 DEBUG                  - depth 0, hash ae52d11, HEAD~338
2022-11-26 05:09:48,482 DEBUG                  - depth 1, hash ff0bf89, HEAD~446
2022-11-26 05:09:48,484 DEBUG                  - depth 2, hash ac97422, HEAD~597
2022-11-26 05:09:48,487 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java findWrapperName 44:67
2022-11-26 05:09:48,509 DEBUG                  - depth 0, hash 09f05a5, HEAD~440
2022-11-26 05:09:48,516 DEBUG                  - depth 1, hash 4b5c9b7, HEAD~441
2022-11-26 05:09:48,520 DEBUG                  - depth 2, hash c95e6bf, HEAD~448
2022-11-26 05:09:48,523 DEBUG                  - depth 3, hash 7343f94, HEAD~449
2022-11-26 05:09:48,527 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsAttribute 107:115
2022-11-26 05:09:48,543 DEBUG                  - depth 0, hash 754187e, HEAD~499
2022-11-26 05:09:48,547 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlAnnotationIntrospector.java isOutputAsText 117:125
2022-11-26 05:09:48,568 DEBUG                  - depth 0, hash 2b21a9e, HEAD~366
2022-11-26 05:09:48,574 DEBUG                  - depth 1, hash 754187e, HEAD~499
2022-11-26 05:09:49,511 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java <init> 30:30
2022-11-26 05:09:49,534 DEBUG                  - depth 0, hash 75e1bac, HEAD~437
2022-11-26 05:09:49,540 DEBUG                  - depth 1, hash 4b5c9b7, HEAD~441
2022-11-26 05:09:49,544 DEBUG                  - depth 2, hash 76f1154, HEAD~540
2022-11-26 05:09:49,550 DEBUG                  - depth 3, hash 6e8939a, HEAD~587
2022-11-26 05:09:49,555 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java _constructIntrospector 122:124
2022-11-26 05:09:49,578 DEBUG                  - depth 0, hash faa84af, HEAD~190
2022-11-26 05:09:49,587 DEBUG                  - depth 1, hash 75e1bac, HEAD~437
2022-11-26 05:09:49,591 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java setDefaultUseWrapper 95:97
2022-11-26 05:09:49,614 DEBUG                  - depth 0, hash 75e1bac, HEAD~437
2022-11-26 05:09:49,621 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/JacksonXmlModule.java setupModule 53:73
2022-11-26 05:09:49,638 DEBUG                  - depth 0, hash a118918, HEAD~401
2022-11-26 05:09:49,642 DEBUG                  - depth 1, hash 3bb8b8a, HEAD~414
2022-11-26 05:09:49,647 DEBUG                  - depth 2, hash 75e1bac, HEAD~437
2022-11-26 05:09:49,650 DEBUG                  - depth 3, hash e88829a, HEAD~509
2022-11-26 05:09:49,652 DEBUG                  - depth 4, hash 3800d1a, HEAD~579
2022-11-26 05:09:49,655 DEBUG                  - depth 5, hash eb0d220, HEAD~582
2022-11-26 05:09:49,657 DEBUG                  - depth 6, hash 6e8939a, HEAD~587
2022-11-26 05:09:50,400 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/PackageVersion.java <clinit> 13:14
2022-11-26 05:09:51,336 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <clinit> 43:43
2022-11-26 05:09:51,354 DEBUG                  - depth 0, hash ac97422, HEAD~597
2022-11-26 05:09:51,359 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 84:84
2022-11-26 05:09:51,379 DEBUG                  - depth 0, hash bf64350, HEAD~215
2022-11-26 05:09:51,383 DEBUG                  - depth 1, hash ac97422, HEAD~597
2022-11-26 05:09:51,386 DEBUG    [line range] com/fasterxml/jackson/dataformat/xml/XmlFactory.java <init> 104:123
