2022-11-26 04:16:01,837 INFO     Search BICs for /tmp/Lang-18b/
2022-11-26 04:16:01,838 DEBUG    Reading the coverage of org.apache.commons.lang3.time.FastDateFormatTest::testFormat (failings)
2022-11-26 04:16:01,847 INFO     Loaded 1x276 Coverage Matrix
2022-11-26 04:16:01,848 INFO     The number of total commits: 3007
2022-11-26 04:16:02,726 DEBUG    [line range] org/apache/commons/lang3/Validate.java isTrue 105:109
2022-11-26 04:16:02,813 DEBUG                  - depth 0, hash 346e68c, HEAD~745
2022-11-26 04:16:02,824 DEBUG                  - depth 1, hash 36d1305, HEAD~764
2022-11-26 04:16:02,827 DEBUG                  - depth 2, hash e23282f, HEAD~913
2022-11-26 04:16:02,830 DEBUG                  - depth 3, hash acbd352, HEAD~914
2022-11-26 04:16:02,833 DEBUG                  - depth 4, hash 948055e, HEAD~2776
2022-11-26 04:16:03,772 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java <clinit> 101:106
2022-11-26 04:16:03,868 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:03,873 DEBUG                  - depth 1, hash 0637216, HEAD~1071
2022-11-26 04:16:03,878 DEBUG                  - depth 2, hash d3015ae, HEAD~2733
2022-11-26 04:16:03,881 DEBUG                  - depth 3, hash e794af9, HEAD~2735
2022-11-26 04:16:03,886 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java <init> 426:432
2022-11-26 04:16:03,976 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:03,980 DEBUG                  - depth 1, hash 5dff4cd, HEAD~234
2022-11-26 04:16:03,983 DEBUG                  - depth 2, hash 9839566, HEAD~2596
2022-11-26 04:16:03,986 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java applyRules 762:767
2022-11-26 04:16:04,071 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,076 DEBUG                  - depth 1, hash 9839566, HEAD~2596
2022-11-26 04:16:04,078 DEBUG                  - depth 2, hash 87ea5b3, HEAD~2631
2022-11-26 04:16:04,082 DEBUG                  - depth 3, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,084 DEBUG                  - depth 4, hash e794af9, HEAD~2735
2022-11-26 04:16:04,087 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java format 689:691
2022-11-26 04:16:04,170 DEBUG                  - depth 0, hash c2003e4, HEAD~2091
2022-11-26 04:16:04,176 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java format 711:713
2022-11-26 04:16:04,260 DEBUG                  - depth 0, hash 87ea5b3, HEAD~2631
2022-11-26 04:16:04,264 DEBUG                  - depth 1, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,266 DEBUG                  - depth 2, hash e794af9, HEAD~2735
2022-11-26 04:16:04,269 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java format 750:752
2022-11-26 04:16:04,355 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,360 DEBUG                  - depth 1, hash ce52e0e, HEAD~727
2022-11-26 04:16:04,363 DEBUG                  - depth 2, hash a95e76e, HEAD~737
2022-11-26 04:16:04,366 DEBUG                  - depth 3, hash 9839566, HEAD~2596
2022-11-26 04:16:04,369 DEBUG                  - depth 4, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,372 DEBUG                  - depth 5, hash e794af9, HEAD~2735
2022-11-26 04:16:04,376 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java format 699:703
2022-11-26 04:16:04,461 DEBUG                  - depth 0, hash 304acb1, HEAD~78
2022-11-26 04:16:04,465 DEBUG                  - depth 1, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,468 DEBUG                  - depth 2, hash 75d5b74, HEAD~441
2022-11-26 04:16:04,471 DEBUG                  - depth 3, hash 9839566, HEAD~2596
2022-11-26 04:16:04,476 DEBUG                  - depth 4, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,479 DEBUG                  - depth 5, hash e794af9, HEAD~2735
2022-11-26 04:16:04,482 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java getInstance 152:154
2022-11-26 04:16:04,564 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,568 DEBUG                  - depth 1, hash 87ea5b3, HEAD~2631
2022-11-26 04:16:04,570 DEBUG                  - depth 2, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,574 DEBUG                  - depth 3, hash e794af9, HEAD~2735
2022-11-26 04:16:04,577 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java getTimeZoneDisplay 402:414
2022-11-26 04:16:04,659 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,663 DEBUG                  - depth 1, hash b044272, HEAD~1024
2022-11-26 04:16:04,666 DEBUG                  - depth 2, hash 87ea5b3, HEAD~2631
2022-11-26 04:16:04,669 DEBUG                  - depth 3, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,672 DEBUG                  - depth 4, hash e794af9, HEAD~2735
2022-11-26 04:16:04,676 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java init 437:447
2022-11-26 04:16:04,755 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,760 DEBUG                  - depth 1, hash b044272, HEAD~1024
2022-11-26 04:16:04,764 DEBUG                  - depth 2, hash 9839566, HEAD~2596
2022-11-26 04:16:04,766 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java parsePattern 457:578
2022-11-26 04:16:04,849 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:04,853 DEBUG                  - depth 1, hash b044272, HEAD~1024
2022-11-26 04:16:04,856 DEBUG                  - depth 2, hash 1df3e07, HEAD~2030
2022-11-26 04:16:04,859 DEBUG                  - depth 3, hash 5e0cb6e, HEAD~2463
2022-11-26 04:16:04,862 DEBUG                  - depth 4, hash 9839566, HEAD~2596
2022-11-26 04:16:04,865 DEBUG                  - depth 5, hash 87ea5b3, HEAD~2631
2022-11-26 04:16:04,868 DEBUG                  - depth 6, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,871 DEBUG                  - depth 7, hash e794af9, HEAD~2735
2022-11-26 04:16:04,877 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java parseToken 587:637
2022-11-26 04:16:04,967 DEBUG                  - depth 0, hash cc8b82b, HEAD~873
2022-11-26 04:16:04,972 DEBUG                  - depth 1, hash 9839566, HEAD~2596
2022-11-26 04:16:04,976 DEBUG                  - depth 2, hash 87ea5b3, HEAD~2631
2022-11-26 04:16:04,980 DEBUG                  - depth 3, hash d3015ae, HEAD~2733
2022-11-26 04:16:04,984 DEBUG                  - depth 4, hash e794af9, HEAD~2735
2022-11-26 04:16:04,987 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java selectNumberRule 646:655
2022-11-26 04:16:05,078 DEBUG                  - depth 0, hash 9839566, HEAD~2596
2022-11-26 04:16:05,100 DEBUG                  - depth 1, hash d3015ae, HEAD~2733
2022-11-26 04:16:05,108 DEBUG                  - depth 2, hash e794af9, HEAD~2735
2022-11-26 04:16:05,121 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java createInstance 101:106
2022-11-26 04:16:05,291 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:05,296 DEBUG                  - depth 1, hash 0637216, HEAD~1071
2022-11-26 04:16:05,300 DEBUG                  - depth 2, hash d3015ae, HEAD~2733
2022-11-26 04:16:05,304 DEBUG                  - depth 3, hash e794af9, HEAD~2735
2022-11-26 04:16:05,310 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java createInstance 101:106
2022-11-26 04:16:05,434 DEBUG                  - depth 0, hash 47ee02b, HEAD~107
2022-11-26 04:16:05,439 DEBUG                  - depth 1, hash 0637216, HEAD~1071
2022-11-26 04:16:05,444 DEBUG                  - depth 2, hash d3015ae, HEAD~2733
2022-11-26 04:16:05,448 DEBUG                  - depth 3, hash e794af9, HEAD~2735
2022-11-26 04:16:05,454 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java <init> 930:932
2022-11-26 04:16:05,560 DEBUG                  - depth 0, hash d3015ae, HEAD~2733
2022-11-26 04:16:05,564 DEBUG                  - depth 1, hash e794af9, HEAD~2735
2022-11-26 04:16:05,566 DEBUG    [line range] org/apache/commons/lang3/time/FastDateFormat.java appendTo 944:946
2022-11-26 04:16:05,649 DEBUG                  - depth 0, hash 70eb423, HEAD~2383
