2022-11-26 04:18:24,764 INFO     Search BICs for /tmp/Lang-22b/
2022-11-26 04:18:24,765 DEBUG    Reading the coverage of org.apache.commons.lang3.math.FractionTest::testReducedFactory_int_int (failings)
2022-11-26 04:18:24,769 DEBUG    Reading the coverage of org.apache.commons.lang3.math.FractionTest::testReduce (failings)
2022-11-26 04:18:24,772 INFO     Loaded 2x69 Coverage Matrix
2022-11-26 04:18:24,773 INFO     The number of total commits: 2636
2022-11-26 04:18:25,811 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java <clinit> 52:52
2022-11-26 04:18:25,891 DEBUG                  - depth 0, hash 7e8976d, HEAD~2386
2022-11-26 04:18:25,902 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java <init> 111:111
2022-11-26 04:18:25,963 DEBUG                  - depth 0, hash 7e8976d, HEAD~2386
2022-11-26 04:18:25,967 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java getDenominator 381:383
2022-11-26 04:18:26,031 DEBUG                  - depth 0, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,036 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java getNumerator 372:374
2022-11-26 04:18:26,097 DEBUG                  - depth 0, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,102 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java getReducedFraction 214:238
2022-11-26 04:18:26,164 DEBUG                  - depth 0, hash 9a662f1, HEAD~1712
2022-11-26 04:18:26,167 DEBUG                  - depth 1, hash ab37790, HEAD~2001
2022-11-26 04:18:26,170 DEBUG                  - depth 2, hash 19858f5, HEAD~2019
2022-11-26 04:18:26,172 DEBUG                  - depth 3, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,175 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java greatestCommonDivisor 581:623
2022-11-26 04:18:26,235 DEBUG                  - depth 0, hash dcdea66, HEAD~905
2022-11-26 04:18:26,238 DEBUG                  - depth 1, hash 9a662f1, HEAD~1712
2022-11-26 04:18:26,241 DEBUG                  - depth 2, hash ab37790, HEAD~2001
2022-11-26 04:18:26,244 DEBUG                  - depth 3, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,247 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java equals 841:852
2022-11-26 04:18:26,309 DEBUG                  - depth 0, hash 585535b, HEAD~712
2022-11-26 04:18:26,313 DEBUG                  - depth 1, hash 9a662f1, HEAD~1712
2022-11-26 04:18:26,316 DEBUG                  - depth 2, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,318 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java getFraction 146:159
2022-11-26 04:18:26,376 DEBUG                  - depth 0, hash 9a662f1, HEAD~1712
2022-11-26 04:18:26,380 DEBUG                  - depth 1, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,383 DEBUG    [line range] org/apache/commons/lang3/math/Fraction.java reduce 474:483
2022-11-26 04:18:26,445 DEBUG                  - depth 0, hash 0ac772a, HEAD~900
2022-11-26 04:18:26,449 DEBUG                  - depth 1, hash ed2a8da, HEAD~1336
2022-11-26 04:18:26,452 DEBUG                  - depth 2, hash ab37790, HEAD~2001
2022-11-26 04:18:26,454 DEBUG                  - depth 3, hash 19858f5, HEAD~2019
2022-11-26 04:18:26,457 DEBUG                  - depth 4, hash 7e8976d, HEAD~2386
2022-11-26 04:18:26,459 INFO     The number of BIC candidates: 8
