2022-11-26 04:19:58,685 INFO     Search BICs for /tmp/Lang-25b/
2022-11-26 04:19:58,686 DEBUG    Reading the coverage of org.apache.commons.lang3.text.translate.EntityArraysTest::testISO8859_1_ESCAPE (failings)
2022-11-26 04:19:58,687 INFO     Loaded 1x16 Coverage Matrix
2022-11-26 04:19:58,688 INFO     The number of total commits: 2605
2022-11-26 04:19:59,513 DEBUG    [line range] org/apache/commons/lang3/text/translate/EntityArrays.java <clinit> 31:128
2022-11-26 04:19:59,569 DEBUG                  - depth 0, hash 77a7d7f, HEAD~1
2022-11-26 04:19:59,579 DEBUG                  - depth 1, hash 73a09af, HEAD~551
2022-11-26 04:19:59,582 DEBUG                  - depth 2, hash a244767, HEAD~574
2022-11-26 04:19:59,584 DEBUG    [line range] org/apache/commons/lang3/text/translate/EntityArrays.java ISO8859_1_ESCAPE 30:30
2022-11-26 04:19:59,644 DEBUG                  - depth 0, hash 73a09af, HEAD~551
2022-11-26 04:19:59,648 DEBUG                  - depth 1, hash a244767, HEAD~574
2022-11-26 04:19:59,651 DEBUG    [line range] org/apache/commons/lang3/text/translate/EntityArrays.java invert 371:378
2022-11-26 04:19:59,704 DEBUG                  - depth 0, hash 73a09af, HEAD~551
2022-11-26 04:19:59,708 DEBUG                  - depth 1, hash a244767, HEAD~574
2022-11-26 04:19:59,710 INFO     The number of BIC candidates: 3
