2022-11-26 04:11:57,802 INFO     Search BICs for /tmp/Lang-12b/
2022-11-26 04:11:57,803 DEBUG    Reading the coverage of org.apache.commons.lang3.RandomStringUtilsTest::testExceptions (failings)
2022-11-26 04:11:57,805 DEBUG    Reading the coverage of org.apache.commons.lang3.RandomStringUtilsTest::testLANG805 (failings)
2022-11-26 04:11:57,806 INFO     Loaded 2x20 Coverage Matrix
2022-11-26 04:11:57,807 INFO     The number of total commits: 3317
2022-11-26 04:11:58,642 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java <clinit> 43:43
2022-11-26 04:11:58,733 DEBUG                  - depth 0, hash d23b22c, HEAD~3315
2022-11-26 04:11:58,744 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 68:70
2022-11-26 04:11:58,830 DEBUG                  - depth 0, hash d23b22c, HEAD~3315
2022-11-26 04:11:58,834 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 162:164
2022-11-26 04:11:58,914 DEBUG                  - depth 0, hash 9b82eae, HEAD~2725
2022-11-26 04:11:58,918 DEBUG                  - depth 1, hash d23b22c, HEAD~3315
2022-11-26 04:11:58,921 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 223:281
2022-11-26 04:11:59,000 DEBUG                  - depth 0, hash 29468bd, HEAD~81
2022-11-26 04:11:59,005 DEBUG                  - depth 1, hash 861034c, HEAD~603
2022-11-26 04:11:59,008 DEBUG                  - depth 2, hash 6ff9961, HEAD~1918
2022-11-26 04:11:59,011 DEBUG                  - depth 3, hash d2b38e0, HEAD~2016
2022-11-26 04:11:59,014 DEBUG                  - depth 4, hash ca8766e, HEAD~2566
2022-11-26 04:11:59,017 DEBUG                  - depth 5, hash 9b82eae, HEAD~2725
2022-11-26 04:11:59,020 DEBUG                  - depth 6, hash 5f70a38, HEAD~2768
2022-11-26 04:11:59,023 DEBUG                  - depth 7, hash 11d347c, HEAD~2902
2022-11-26 04:11:59,026 DEBUG                  - depth 8, hash 11a540b, HEAD~2978
2022-11-26 04:11:59,029 DEBUG                  - depth 9, hash 865a748, HEAD~3028
2022-11-26 04:11:59,032 DEBUG                  - depth 10, hash d23b22c, HEAD~3315
2022-11-26 04:11:59,036 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 142:144
2022-11-26 04:11:59,117 DEBUG                  - depth 0, hash d23b22c, HEAD~3315
2022-11-26 04:11:59,121 DEBUG    [line range] org/apache/commons/lang3/RandomStringUtils.java random 315:320
2022-11-26 04:11:59,203 DEBUG                  - depth 0, hash 5dbb0ce, HEAD~512
2022-11-26 04:11:59,207 DEBUG                  - depth 1, hash 9b82eae, HEAD~2725
2022-11-26 04:11:59,211 DEBUG                  - depth 2, hash c55b1ba, HEAD~2954
2022-11-26 04:11:59,215 DEBUG                  - depth 3, hash d23b22c, HEAD~3315
2022-11-26 04:11:59,218 INFO     The number of BIC candidates: 13
