2022-11-26 04:21:58,208 INFO     Search BICs for /tmp/Lang-29b/
2022-11-26 04:21:58,208 DEBUG    Reading the coverage of org.apache.commons.lang3.SystemUtilsTest::testJavaVersionAsInt (failings)
2022-11-26 04:21:58,219 INFO     Loaded 1x136 Coverage Matrix
2022-11-26 04:21:58,220 INFO     The number of total commits: 2458
2022-11-26 04:21:59,285 DEBUG    [line range] org/apache/commons/lang3/ArrayUtils.java <clinit> 56:56
2022-11-26 04:21:59,404 DEBUG                  - depth 0, hash cbf7a76, HEAD~1648
2022-11-26 04:21:59,413 DEBUG                  - depth 1, hash a4776f3, HEAD~1649
2022-11-26 04:21:59,415 DEBUG                  - depth 2, hash 8c3f1ab, HEAD~2028
2022-11-26 04:22:00,306 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java <clinit> 104:104
2022-11-26 04:22:00,369 DEBUG                  - depth 0, hash b20ba54, HEAD~1633
2022-11-26 04:22:00,373 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getJavaVersionAsFloat 1363:1365
2022-11-26 04:22:00,434 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,438 DEBUG                  - depth 1, hash 341c6c0, HEAD~1105
2022-11-26 04:22:00,441 DEBUG                  - depth 2, hash 6a23fd6, HEAD~1419
2022-11-26 04:22:00,443 DEBUG                  - depth 3, hash 2077c6c, HEAD~2072
2022-11-26 04:22:00,446 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getJavaVersionAsInt 1387:1389
2022-11-26 04:22:00,512 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,516 DEBUG                  - depth 1, hash 341c6c0, HEAD~1105
2022-11-26 04:22:00,518 DEBUG                  - depth 2, hash 6a23fd6, HEAD~1419
2022-11-26 04:22:00,520 DEBUG                  - depth 3, hash 2077c6c, HEAD~2072
2022-11-26 04:22:00,523 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getJavaVersionMatches 1400:1402
2022-11-26 04:22:00,585 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,590 DEBUG                  - depth 1, hash 341c6c0, HEAD~1105
2022-11-26 04:22:00,592 DEBUG                  - depth 2, hash 6a23fd6, HEAD~1419
2022-11-26 04:22:00,595 DEBUG                  - depth 3, hash 2077c6c, HEAD~2072
2022-11-26 04:22:00,597 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getJavaVersionTrimmed 1409:1419
2022-11-26 04:22:00,650 DEBUG                  - depth 0, hash 6a23fd6, HEAD~1419
2022-11-26 04:22:00,654 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getOSMatches 1430:1432
2022-11-26 04:22:00,717 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,721 DEBUG                  - depth 1, hash 6a23fd6, HEAD~1419
2022-11-26 04:22:00,723 DEBUG                  - depth 2, hash 043babf, HEAD~2006
2022-11-26 04:22:00,726 DEBUG                  - depth 3, hash 22ae648, HEAD~2060
2022-11-26 04:22:00,728 DEBUG                  - depth 4, hash 7543998, HEAD~2069
2022-11-26 04:22:00,732 DEBUG                  - depth 5, hash 2077c6c, HEAD~2072
2022-11-26 04:22:00,736 DEBUG                  - depth 6, hash 968ff83, HEAD~2398
2022-11-26 04:22:00,738 DEBUG                  - depth 7, hash e2668e7, HEAD~2407
2022-11-26 04:22:00,740 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getOSMatchesName 1441:1443
2022-11-26 04:22:00,804 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,809 DEBUG                  - depth 1, hash 7543998, HEAD~2069
2022-11-26 04:22:00,812 DEBUG                  - depth 2, hash 2077c6c, HEAD~2072
2022-11-26 04:22:00,816 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java getSystemProperty 1460:1469
2022-11-26 04:22:00,877 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,881 DEBUG                  - depth 1, hash de98e6c, HEAD~1596
2022-11-26 04:22:00,883 DEBUG                  - depth 2, hash a168f2e, HEAD~2059
2022-11-26 04:22:00,886 DEBUG                  - depth 3, hash 22ae648, HEAD~2060
2022-11-26 04:22:00,889 DEBUG                  - depth 4, hash 2077c6c, HEAD~2072
2022-11-26 04:22:00,892 DEBUG                  - depth 5, hash 968ff83, HEAD~2398
2022-11-26 04:22:00,895 DEBUG                  - depth 6, hash e2668e7, HEAD~2407
2022-11-26 04:22:00,897 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java isJavaVersionMatch 1573:1578
2022-11-26 04:22:00,960 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:00,964 DEBUG                  - depth 1, hash de98e6c, HEAD~1596
2022-11-26 04:22:00,966 DEBUG                  - depth 2, hash 968ff83, HEAD~2398
2022-11-26 04:22:00,969 DEBUG                  - depth 3, hash e2668e7, HEAD~2407
2022-11-26 04:22:00,971 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java isOSMatch 1596:1601
2022-11-26 04:22:01,033 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:01,037 DEBUG                  - depth 1, hash c7218dd, HEAD~1672
2022-11-26 04:22:01,040 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java isOSNameMatch 1615:1620
2022-11-26 04:22:01,106 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:01,111 DEBUG                  - depth 1, hash c7218dd, HEAD~1672
2022-11-26 04:22:01,114 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java toJavaVersionInt 1672:1674
2022-11-26 04:22:01,180 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:01,184 DEBUG                  - depth 1, hash c7218dd, HEAD~1672
2022-11-26 04:22:01,187 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java toJavaVersionIntArray 1715:1729
2022-11-26 04:22:01,248 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:01,252 DEBUG                  - depth 1, hash c7218dd, HEAD~1672
2022-11-26 04:22:01,255 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java toVersionFloat 1751:1769
2022-11-26 04:22:01,314 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:01,317 DEBUG                  - depth 1, hash c7218dd, HEAD~1672
2022-11-26 04:22:01,320 DEBUG    [line range] org/apache/commons/lang3/SystemUtils.java toVersionInt 1791:1807
2022-11-26 04:22:01,381 DEBUG                  - depth 0, hash ef9524a, HEAD~1
2022-11-26 04:22:01,385 DEBUG                  - depth 1, hash c7218dd, HEAD~1672
2022-11-26 04:22:01,388 INFO     The number of BIC candidates: 16
