2022-11-26 04:13:54,003 INFO     Search BICs for /tmp/Lang-15b/
2022-11-26 04:13:54,004 DEBUG    Reading the coverage of org.apache.commons.lang3.reflect.TypeUtilsTest::testIsAssignable (failings)
2022-11-26 04:13:54,029 DEBUG    Reading the coverage of org.apache.commons.lang3.reflect.TypeUtilsTest::testGetTypeArguments (failings)
2022-11-26 04:13:54,050 INFO     Loaded 2x421 Coverage Matrix
2022-11-26 04:13:54,051 INFO     The number of total commits: 3253
2022-11-26 04:13:55,546 DEBUG    [line range] org/apache/commons/lang3/ArrayUtils.java <clinit> 49:49
2022-11-26 04:13:55,678 DEBUG                  - depth 0, hash cbf7a76, HEAD~2443
2022-11-26 04:13:55,688 DEBUG                  - depth 1, hash a4776f3, HEAD~2444
2022-11-26 04:13:55,691 DEBUG                  - depth 2, hash 8c3f1ab, HEAD~2823
2022-11-26 04:13:55,694 DEBUG    [line range] org/apache/commons/lang3/ArrayUtils.java clone 319:324
2022-11-26 04:13:55,824 DEBUG                  - depth 0, hash f1f885f, HEAD~1156
2022-11-26 04:13:55,828 DEBUG                  - depth 1, hash 3cf8104, HEAD~1321
2022-11-26 04:13:55,830 DEBUG                  - depth 2, hash a6e6f51, HEAD~2317
2022-11-26 04:13:55,833 DEBUG                  - depth 3, hash cbf7a76, HEAD~2443
2022-11-26 04:13:55,836 DEBUG                  - depth 4, hash a4776f3, HEAD~2444
2022-11-26 04:13:55,841 DEBUG                  - depth 5, hash 8c3f1ab, HEAD~2823
2022-11-26 04:13:55,843 DEBUG                  - depth 6, hash 30c4fa4, HEAD~3091
2022-11-26 04:13:56,792 DEBUG    [line range] org/apache/commons/lang3/ClassUtils.java <clinit> 53:53
2022-11-26 04:13:56,881 DEBUG                  - depth 0, hash c457c16, HEAD~1925
2022-11-26 04:13:56,885 DEBUG                  - depth 1, hash 549e782, HEAD~1933
2022-11-26 04:13:56,888 DEBUG                  - depth 2, hash 593366b, HEAD~2859
2022-11-26 04:13:56,892 DEBUG    [line range] org/apache/commons/lang3/ClassUtils.java addAbbreviation 110:113
2022-11-26 04:13:56,967 DEBUG                  - depth 0, hash 27d31df, HEAD~1486
2022-11-26 04:13:56,972 DEBUG    [line range] org/apache/commons/lang3/ClassUtils.java isAssignable 588:590
2022-11-26 04:13:57,048 DEBUG                  - depth 0, hash 483f81c, HEAD~609
2022-11-26 04:13:57,052 DEBUG                  - depth 1, hash e53a0c9, HEAD~908
2022-11-26 04:13:57,055 DEBUG                  - depth 2, hash b044272, HEAD~1270
2022-11-26 04:13:57,058 DEBUG                  - depth 3, hash 37c66d1, HEAD~1398
2022-11-26 04:13:57,061 DEBUG                  - depth 4, hash c457c16, HEAD~1925
2022-11-26 04:13:57,064 DEBUG                  - depth 5, hash 549e782, HEAD~1933
2022-11-26 04:13:57,066 DEBUG                  - depth 6, hash e1fb7cf, HEAD~3088
2022-11-26 04:13:57,069 DEBUG    [line range] org/apache/commons/lang3/ClassUtils.java isAssignable 619:690
2022-11-26 04:13:57,150 DEBUG                  - depth 0, hash 29468bd, HEAD~17
2022-11-26 04:13:57,155 DEBUG                  - depth 1, hash b044272, HEAD~1270
2022-11-26 04:13:57,158 DEBUG                  - depth 2, hash 37c66d1, HEAD~1398
2022-11-26 04:13:57,160 DEBUG                  - depth 3, hash c457c16, HEAD~1925
2022-11-26 04:13:57,163 DEBUG                  - depth 4, hash 549e782, HEAD~1933
2022-11-26 04:13:57,165 DEBUG                  - depth 5, hash b87acfc, HEAD~2659
2022-11-26 04:13:57,168 DEBUG                  - depth 6, hash e1fb7cf, HEAD~3088
