2022-11-26 04:19:27,514 INFO     Search BICs for /tmp/Lang-24b/
2022-11-26 04:19:27,514 DEBUG    Reading the coverage of org.apache.commons.lang3.math.NumberUtilsTest::testIsNumber (failings)
2022-11-26 04:19:27,528 INFO     Loaded 1x160 Coverage Matrix
2022-11-26 04:19:27,529 INFO     The number of total commits: 2618
2022-11-26 04:19:28,601 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java <clinit> 163:163
2022-11-26 04:19:28,651 DEBUG                  - depth 0, hash 3a95ec1, HEAD~88
2022-11-26 04:19:28,662 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java isBlank 237:248
2022-11-26 04:19:28,901 DEBUG                  - depth 0, hash cf2e48a, HEAD~216
2022-11-26 04:19:28,905 DEBUG                  - depth 1, hash 8981848, HEAD~565
2022-11-26 04:19:28,908 DEBUG                  - depth 2, hash 1719697, HEAD~1910
2022-11-26 04:19:28,911 DEBUG                  - depth 3, hash 282d157, HEAD~2105
2022-11-26 04:19:28,913 DEBUG                  - depth 4, hash d23b22c, HEAD~2616
2022-11-26 04:19:28,916 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java isEmpty 198:200
2022-11-26 04:19:29,164 DEBUG                  - depth 0, hash cf2e48a, HEAD~216
2022-11-26 04:19:29,168 DEBUG                  - depth 1, hash 8981848, HEAD~565
2022-11-26 04:19:29,171 DEBUG                  - depth 2, hash b2ecd0d, HEAD~1522
2022-11-26 04:19:29,173 DEBUG                  - depth 3, hash 282d157, HEAD~2105
2022-11-26 04:19:29,176 DEBUG                  - depth 4, hash d23b22c, HEAD~2616
2022-11-26 04:19:30,072 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java <clinit> 41:41
2022-11-26 04:19:30,153 DEBUG                  - depth 0, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,157 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createBigDecimal 716:725
2022-11-26 04:19:30,218 DEBUG                  - depth 0, hash 8233881, HEAD~2047
2022-11-26 04:19:30,221 DEBUG                  - depth 1, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,224 DEBUG                  - depth 2, hash 23d766d, HEAD~2064
2022-11-26 04:19:30,226 DEBUG                  - depth 3, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,229 DEBUG                  - depth 4, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,231 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createBigInteger 700:705
2022-11-26 04:19:30,293 DEBUG                  - depth 0, hash 8233881, HEAD~2047
2022-11-26 04:19:30,297 DEBUG                  - depth 1, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,299 DEBUG                  - depth 2, hash 23d766d, HEAD~2064
2022-11-26 04:19:30,302 DEBUG                  - depth 3, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,304 DEBUG                  - depth 4, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,307 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createDouble 650:655
2022-11-26 04:19:30,367 DEBUG                  - depth 0, hash 8233881, HEAD~2047
2022-11-26 04:19:30,370 DEBUG                  - depth 1, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,373 DEBUG                  - depth 2, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,375 DEBUG                  - depth 3, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,378 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createFloat 634:639
2022-11-26 04:19:30,439 DEBUG                  - depth 0, hash 8233881, HEAD~2047
2022-11-26 04:19:30,443 DEBUG                  - depth 1, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,445 DEBUG                  - depth 2, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,448 DEBUG                  - depth 3, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,451 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createInteger 667:673
2022-11-26 04:19:30,513 DEBUG                  - depth 0, hash 8233881, HEAD~2047
2022-11-26 04:19:30,517 DEBUG                  - depth 1, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,519 DEBUG                  - depth 2, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,522 DEBUG                  - depth 3, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,524 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createLong 684:689
2022-11-26 04:19:30,586 DEBUG                  - depth 0, hash 8233881, HEAD~2047
2022-11-26 04:19:30,590 DEBUG                  - depth 1, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,593 DEBUG                  - depth 2, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,595 DEBUG                  - depth 3, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,598 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createNumber 452:602
2022-11-26 04:19:30,656 DEBUG                  - depth 0, hash c2560c0, HEAD~89
2022-11-26 04:19:30,659 DEBUG                  - depth 1, hash da0612b, HEAD~334
2022-11-26 04:19:30,662 DEBUG                  - depth 2, hash 6dcd3ef, HEAD~512
2022-11-26 04:19:30,664 DEBUG                  - depth 3, hash 1fd45a4, HEAD~1081
2022-11-26 04:19:30,667 DEBUG                  - depth 4, hash 9446bb1, HEAD~1444
2022-11-26 04:19:30,669 DEBUG                  - depth 5, hash 608c515, HEAD~1452
2022-11-26 04:19:30,672 DEBUG                  - depth 6, hash 0bbcd62, HEAD~1455
2022-11-26 04:19:30,674 DEBUG                  - depth 7, hash 5c89ea5, HEAD~1907
2022-11-26 04:19:30,676 DEBUG                  - depth 8, hash 8233881, HEAD~2047
2022-11-26 04:19:30,679 DEBUG                  - depth 9, hash 9c16f35, HEAD~2049
2022-11-26 04:19:30,681 DEBUG                  - depth 10, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,683 DEBUG                  - depth 11, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,686 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java isAllZeros 612:622
2022-11-26 04:19:30,746 DEBUG                  - depth 0, hash af2f23e, HEAD~2093
2022-11-26 04:19:30,750 DEBUG                  - depth 1, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,752 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java isDigits 1294:1304
2022-11-26 04:19:30,812 DEBUG                  - depth 0, hash f37f0b0, HEAD~1868
2022-11-26 04:19:30,815 DEBUG                  - depth 1, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,818 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java isNumber 1319:1421
2022-11-26 04:19:30,880 DEBUG                  - depth 0, hash da0612b, HEAD~334
2022-11-26 04:19:30,884 DEBUG                  - depth 1, hash f37f0b0, HEAD~1868
2022-11-26 04:19:30,886 DEBUG                  - depth 2, hash 5c89ea5, HEAD~1907
2022-11-26 04:19:30,889 DEBUG                  - depth 3, hash 61f0f16, HEAD~2189
2022-11-26 04:19:30,892 INFO     The number of BIC candidates: 21
