2022-11-26 04:07:56,438 INFO     Search BICs for /tmp/Lang-7b/
2022-11-26 04:07:56,439 DEBUG    Reading the coverage of org.apache.commons.lang3.math.NumberUtilsTest::testCreateNumber (failings)
2022-11-26 04:07:56,456 INFO     Loaded 1x218 Coverage Matrix
2022-11-26 04:07:56,457 INFO     The number of total commits: 3454
2022-11-26 04:07:57,223 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 27
2022-11-26 04:07:57,320 DEBUG                  - depth 0, hash 483f81c, HEAD~810
2022-11-26 04:07:57,330 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 32
2022-11-26 04:07:57,415 DEBUG                  - depth 0, hash 9eada0a, HEAD~570
2022-11-26 04:07:57,420 DEBUG                  - depth 1, hash 21475ae, HEAD~674
2022-11-26 04:07:57,423 DEBUG                  - depth 2, hash 483f81c, HEAD~810
2022-11-26 04:07:57,425 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 37
2022-11-26 04:07:57,503 DEBUG                  - depth 0, hash 21475ae, HEAD~674
2022-11-26 04:07:57,507 DEBUG                  - depth 1, hash 483f81c, HEAD~810
2022-11-26 04:07:57,510 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 42
2022-11-26 04:07:57,592 DEBUG                  - depth 0, hash 21475ae, HEAD~674
2022-11-26 04:07:57,596 DEBUG                  - depth 1, hash 483f81c, HEAD~810
2022-11-26 04:07:57,599 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 47
2022-11-26 04:07:57,697 DEBUG                  - depth 0, hash 21475ae, HEAD~674
2022-11-26 04:07:57,702 DEBUG                  - depth 1, hash 483f81c, HEAD~810
2022-11-26 04:07:57,705 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 52
2022-11-26 04:07:57,796 DEBUG                  - depth 0, hash 21475ae, HEAD~674
2022-11-26 04:07:57,801 DEBUG                  - depth 1, hash 483f81c, HEAD~810
2022-11-26 04:07:57,804 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 57
2022-11-26 04:07:57,894 DEBUG                  - depth 0, hash 21475ae, HEAD~674
2022-11-26 04:07:57,899 DEBUG                  - depth 1, hash 483f81c, HEAD~810
2022-11-26 04:07:57,901 DEBUG    [single line]   org/apache/commons/lang3/JavaVersion.java <clinit> 62
