2022-11-26 04:33:33,074 INFO     Search BICs for /tmp/Lang-44b/
2022-11-26 04:33:33,074 DEBUG    Reading the coverage of org.apache.commons.lang.NumberUtilsTest::testLang457 (failings)
2022-11-26 04:33:33,077 INFO     Loaded 1x22 Coverage Matrix
2022-11-26 04:33:33,078 INFO     The number of total commits: 1886
2022-11-26 04:33:33,917 DEBUG    [line range] org/apache/commons/lang/NumberUtils.java createNumber 138:286
2022-11-26 04:33:33,970 DEBUG                  - depth 0, hash 1fd45a4, HEAD~349
2022-11-26 04:33:33,981 DEBUG                  - depth 1, hash f93aa99, HEAD~714
2022-11-26 04:33:33,985 DEBUG                  - depth 2, hash 608c515, HEAD~720
2022-11-26 04:33:33,988 DEBUG                  - depth 3, hash 11ff5aa, HEAD~724
2022-11-26 04:33:33,991 DEBUG                  - depth 4, hash 5c89ea5, HEAD~1175
2022-11-26 04:33:33,993 DEBUG                  - depth 5, hash d23b22c, HEAD~1884
2022-11-26 04:33:33,996 DEBUG    [line range] org/apache/commons/lang/NumberUtils.java isAllZeros 296:306
2022-11-26 04:33:34,045 DEBUG                  - depth 0, hash d23b22c, HEAD~1884
2022-11-26 04:33:34,051 INFO     The number of BIC candidates: 6
