2022-11-26 04:04:51,395 INFO     Search BICs for /tmp/Lang-3b/
2022-11-26 04:04:51,395 DEBUG    Reading the coverage of org.apache.commons.lang3.math.NumberUtilsTest::testStringCreateNumberEnsureNoPrecisionLoss (failings)
2022-11-26 04:04:51,410 INFO     Loaded 1x54 Coverage Matrix
2022-11-26 04:04:51,411 INFO     The number of total commits: 3552
2022-11-26 04:04:52,736 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java <clinit> 181:181
2022-11-26 04:04:53,089 DEBUG                  - depth 0, hash bcdb108, HEAD~103
2022-11-26 04:04:53,102 DEBUG                  - depth 1, hash c121439, HEAD~107
2022-11-26 04:04:53,106 DEBUG                  - depth 2, hash 3a95ec1, HEAD~1022
2022-11-26 04:04:53,112 DEBUG    [line range] org/apache/commons/lang3/StringUtils.java isBlank 255:266
2022-11-26 04:04:53,701 DEBUG                  - depth 0, hash 8e08ef1, HEAD~73
2022-11-26 04:04:53,705 DEBUG                  - depth 1, hash 29468bd, HEAD~316
2022-11-26 04:04:53,708 DEBUG                  - depth 2, hash cf2e48a, HEAD~1150
2022-11-26 04:04:53,711 DEBUG                  - depth 3, hash 8981848, HEAD~1499
2022-11-26 04:04:53,714 DEBUG                  - depth 4, hash 1719697, HEAD~2844
2022-11-26 04:04:53,717 DEBUG                  - depth 5, hash 282d157, HEAD~3039
2022-11-26 04:04:53,719 DEBUG                  - depth 6, hash d23b22c, HEAD~3550
2022-11-26 04:04:54,790 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java <clinit> 34:34
2022-11-26 04:04:54,937 DEBUG                  - depth 0, hash 922f4e3, HEAD~472
2022-11-26 04:04:54,942 DEBUG                  - depth 1, hash 61f0f16, HEAD~3123
2022-11-26 04:04:54,945 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createFloat 640:645
2022-11-26 04:04:55,084 DEBUG                  - depth 0, hash 8e08ef1, HEAD~73
2022-11-26 04:04:55,088 DEBUG                  - depth 1, hash 8233881, HEAD~2981
2022-11-26 04:04:55,091 DEBUG                  - depth 2, hash 9c16f35, HEAD~2983
2022-11-26 04:04:55,094 DEBUG                  - depth 3, hash af2f23e, HEAD~3027
2022-11-26 04:04:55,098 DEBUG                  - depth 4, hash 61f0f16, HEAD~3123
2022-11-26 04:04:55,102 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java createNumber 450:608
2022-11-26 04:04:55,242 DEBUG                  - depth 0, hash 2d460b7, HEAD~31
2022-11-26 04:04:55,246 DEBUG                  - depth 1, hash f5d8a8f, HEAD~36
2022-11-26 04:04:55,248 DEBUG                  - depth 2, hash 5d27970, HEAD~38
2022-11-26 04:04:55,251 DEBUG                  - depth 3, hash ae6928a, HEAD~72
2022-11-26 04:04:55,253 DEBUG                  - depth 4, hash 8e08ef1, HEAD~73
2022-11-26 04:04:55,256 DEBUG                  - depth 5, hash a2de604, HEAD~92
2022-11-26 04:04:55,260 DEBUG                  - depth 6, hash e71f6dd, HEAD~97
2022-11-26 04:04:55,263 DEBUG                  - depth 7, hash 2397e5b, HEAD~214
2022-11-26 04:04:55,265 DEBUG                  - depth 8, hash 13c7f19, HEAD~403
2022-11-26 04:04:55,267 DEBUG                  - depth 9, hash 5564fb5, HEAD~725
2022-11-26 04:04:55,270 DEBUG                  - depth 10, hash c2560c0, HEAD~1023
2022-11-26 04:04:55,273 DEBUG                  - depth 11, hash da0612b, HEAD~1268
2022-11-26 04:04:55,275 DEBUG                  - depth 12, hash 6dcd3ef, HEAD~1446
2022-11-26 04:04:55,277 DEBUG                  - depth 13, hash 1fd45a4, HEAD~2015
2022-11-26 04:04:55,280 DEBUG                  - depth 14, hash 9446bb1, HEAD~2378
2022-11-26 04:04:55,282 DEBUG                  - depth 15, hash 608c515, HEAD~2386
2022-11-26 04:04:55,285 DEBUG                  - depth 16, hash 0bbcd62, HEAD~2389
2022-11-26 04:04:55,287 DEBUG                  - depth 17, hash 5c89ea5, HEAD~2841
2022-11-26 04:04:55,290 DEBUG                  - depth 18, hash 8233881, HEAD~2981
2022-11-26 04:04:55,293 DEBUG                  - depth 19, hash 9c16f35, HEAD~2983
2022-11-26 04:04:55,295 DEBUG                  - depth 20, hash af2f23e, HEAD~3027
2022-11-26 04:04:55,297 DEBUG                  - depth 21, hash 61f0f16, HEAD~3123
2022-11-26 04:04:55,300 DEBUG    [line range] org/apache/commons/lang3/math/NumberUtils.java isAllZeros 618:628
2022-11-26 04:04:55,428 DEBUG                  - depth 0, hash 8e08ef1, HEAD~73
2022-11-26 04:04:55,432 DEBUG                  - depth 1, hash af2f23e, HEAD~3027
2022-11-26 04:04:55,435 DEBUG                  - depth 2, hash 61f0f16, HEAD~3123
2022-11-26 04:04:55,438 INFO     The number of BIC candidates: 32
