2022-11-26 04:34:37,442 INFO     Search BICs for /tmp/Lang-46b/
2022-11-26 04:34:37,443 DEBUG    Reading the coverage of org.apache.commons.lang.StringEscapeUtilsTest::testEscapeJavaWithSlash (failings)
2022-11-26 04:34:37,446 INFO     Loaded 1x22 Coverage Matrix
2022-11-26 04:34:37,447 INFO     The number of total commits: 1851
2022-11-26 04:34:38,300 DEBUG    [line range] org/apache/commons/lang/StringEscapeUtils.java <clinit> 45:45
2022-11-26 04:34:38,351 DEBUG                  - depth 0, hash 670fa67, HEAD~85
2022-11-26 04:34:38,364 DEBUG    [line range] org/apache/commons/lang/StringEscapeUtils.java escapeJava 85:87
2022-11-26 04:34:38,414 DEBUG                  - depth 0, hash f03e83e, HEAD~1523
2022-11-26 04:34:38,418 DEBUG    [line range] org/apache/commons/lang/StringEscapeUtils.java escapeJavaStyleString 176:251
2022-11-26 04:34:38,466 DEBUG                  - depth 0, hash 868f697, HEAD~170
2022-11-26 04:34:38,470 DEBUG                  - depth 1, hash 5814f50, HEAD~1138
2022-11-26 04:34:38,473 DEBUG                  - depth 2, hash 4d9bdc0, HEAD~1258
2022-11-26 04:34:38,475 DEBUG                  - depth 3, hash 97dfb3a, HEAD~1344
2022-11-26 04:34:38,478 DEBUG                  - depth 4, hash fd38d2f, HEAD~1510
2022-11-26 04:34:38,480 DEBUG                  - depth 5, hash 7eba6af, HEAD~1521
2022-11-26 04:34:38,485 DEBUG                  - depth 6, hash f03e83e, HEAD~1523
2022-11-26 04:34:38,488 DEBUG    [line range] org/apache/commons/lang/StringEscapeUtils.java escapeJavaStyleString 153:166
2022-11-26 04:34:38,540 DEBUG                  - depth 0, hash 8588458, HEAD~597
2022-11-26 04:34:38,544 DEBUG                  - depth 1, hash 97dfb3a, HEAD~1344
2022-11-26 04:34:38,547 DEBUG                  - depth 2, hash 7eba6af, HEAD~1521
2022-11-26 04:34:38,551 DEBUG                  - depth 3, hash f03e83e, HEAD~1523
2022-11-26 04:34:38,553 INFO     The number of BIC candidates: 9
