2022-11-26 04:34:04,991 INFO     Search BICs for /tmp/Lang-45b/
2022-11-26 04:34:04,992 DEBUG    Reading the coverage of org.apache.commons.lang.WordUtilsTest::testAbbreviate (failings)
2022-11-26 04:34:05,009 INFO     Loaded 1x24 Coverage Matrix
2022-11-26 04:34:05,010 INFO     The number of total commits: 1867
2022-11-26 04:34:06,149 DEBUG    [line range] org/apache/commons/lang/StringUtils.java defaultString 5278:5280
2022-11-26 04:34:06,374 DEBUG                  - depth 0, hash b2ecd0d, HEAD~771
2022-11-26 04:34:06,388 DEBUG                  - depth 1, hash 2fce75d, HEAD~1235
2022-11-26 04:34:06,392 DEBUG                  - depth 2, hash 4d79ace, HEAD~1383
2022-11-26 04:34:06,395 DEBUG    [line range] org/apache/commons/lang/StringUtils.java indexOf 850:859
2022-11-26 04:34:06,541 DEBUG                  - depth 0, hash f856011, HEAD~1306
2022-11-26 04:34:06,545 DEBUG                  - depth 1, hash 251a476, HEAD~1357
2022-11-26 04:34:07,349 DEBUG    [line range] org/apache/commons/lang/WordUtils.java abbreviate 605:640
2022-11-26 04:34:07,399 DEBUG                  - depth 0, hash 8c4335a, HEAD~140
2022-11-26 04:34:07,403 DEBUG                  - depth 1, hash 8688d11, HEAD~154
2022-11-26 04:34:07,406 INFO     The number of BIC candidates: 7
